,C16,Malignant neoplasm of stomach,Males, 14.4 ,, 12.3 ,,, u ,, u ,, u ,, u ,, u ,, u , 0.2 , u , 0.6 , u , 0.9 , u , 2.4 ,, 4.0 ,, 7.9 ,, 11.9 ,, 18.9 ,, 30.6 ,, 42.8 ,, 68.7 ,, 88.9 ,, 119.0 ,, 82.2 ,
,C16,Malignant neoplasm of stomach,Females, 6.2 ,, 6.3 ,,, u ,, u ,, u ,, u ,, u , 0.2 , u , 0.3 , u , 0.8 , u , 1.5 ,, 1.4 ,, 2.6 ,, 3.5 ,, 6.1 ,, 8.6 ,, 12.1 ,, 16.4 ,, 28.5 ,, 38.6 ,, 41.7 ,, 38.6 ,
,C18-C20,Malignant neoplasm of colon and rectum,Males, 81.9 ,, 70.6 ,,, u ,, u ,, u , 0.2 , u , 0.2 , u , 0.3 , u , 2.5 ,, 6.5 ,, 11.5 ,, 13.8 ,, 22.9 ,, 43.8 ,, 81.4 ,, 148.6 ,, 199.1 ,, 267.3 ,, 343.1 ,, 446.3 ,, 489.1 ,, 415.4 ,
,C18-C20,Malignant neoplasm of colon and rectum,Females, 54.9 ,, 54.8 ,,, u ,, u ,, u , 0.3 , u ,, u , 0.8 , u , 2.7 ,, 6.3 ,, 11.0 ,, 13.7 ,, 20.1 ,, 34.4 ,, 58.0 ,, 93.0 ,, 114.1 ,, 164.3 ,, 239.0 ,, 295.5 ,, 347.0 ,, 267.9 ,
,C33-C34,"Malignant neoplasm of trachea, bronchus and lung",Males, 86.9 ,, 74.0 ,,, u ,, u ,, u ,, u , 0.2 , u ,, u , 0.7 , u , 1.0 , u , 2.1 ,, 5.3 ,, 14.3 ,, 33.5 ,, 67.1 ,, 134.0 ,, 227.6 ,, 311.6 ,, 448.9 ,, 474.5 ,, 513.9 ,, 489.1 ,
,C33-C34,"Malignant neoplasm of trachea, bronchus and lung",Females, 67.0 ,, 66.0 ,,, u ,, u ,, u ,, u ,, u , 0.4 , u , 0.4 , u , 0.9 , u , 1.4 ,, 4.8 ,, 14.0 ,, 30.4 ,, 65.6 ,, 121.0 ,, 189.7 ,, 262.7 ,, 324.1 ,, 314.7 ,, 326.1 ,, 255.0 ,
,C50,Malignant neoplasm of breast,Males, 1.3 ,, 1.2 ,,, u ,, u ,, u ,, u ,, u ,, u ,, u ,, u ,, u , 0.4 , u , 0.5 , u , 1.4 ,, 1.1 , u , 1.5 ,, 3.5 ,, 4.9 ,, 5.3 ,, 7.0 ,, 7.2 ,, 7.2 , u 
,C50,Malignant neoplasm of breast,Females, 166.7 ,, 162.7 ,,, u ,, u ,, u ,, u ,, u , 1.5 ,, 10.6 ,, 31.9 ,, 66.8 ,, 125.4 ,, 216.2 ,, 274.4 ,, 287.2 ,, 326.6 ,, 409.6 ,, 363.8 ,, 385.6 ,, 421.7 ,, 441.0 ,, 451.0 ,
,C64,"Malignant neoplasm of kidney, except renal pelvis",Males, 23.7 ,, 21.0 ,, 1.8 , u , 1.9 ,, 0.6 , u , 0.2 , u ,, u , 0.3 , u , 1.0 ,, 2.1 ,, 5.0 ,, 9.5 ,, 16.8 ,, 24.9 ,, 34.5 ,, 47.6 ,, 59.5 ,, 73.3 ,, 77.5 ,, 80.0 ,, 93.3 ,, 82.8 ,
,C64,"Malignant neoplasm of kidney, except renal pelvis",Females, 12.7 ,, 12.5 ,, 1.6 , u , 2.2 ,, 0.9 , u , 0.5 , u , 0.2 , u ,, u , 0.8 , u , 1.8 ,, 2.7 ,, 4.7 ,, 7.0 ,, 12.1 ,, 18.0 ,, 22.4 ,, 31.2 ,, 38.7 ,, 44.6 ,, 54.2 ,, 49.0 ,, 44.2 ,
,C65,Malignant neoplasm of renal pelvis,Males, 1.8 ,, 1.5 ,,, u ,, u ,, u ,, u ,, u ,, u ,, u ,, u ,, u ,, u , 0.3 , u , 0.6 , u , 1.2 ,, 2.5 ,, 3.6 ,, 7.1 ,, 10.9 ,, 9.5 ,, 11.1 ,, 6.5 , u 
,C65,Malignant neoplasm of renal pelvis,Females, 1.0 ,, 1.0 ,,, u ,, u ,, u ,, u ,, u ,, u ,, u ,, u ,, u ,, u ,, u , 0.5 , u , 0.6 , u , 0.9 , u , 2.1 ,, 4.2 ,, 7.0 ,, 6.1 ,, 5.4 ,, 4.7 , u 
,C66,Malignant neoplasm of ureter,Males, 1.7 ,, 1.4 ,,, u ,, u ,, u ,, u ,, u ,, u ,, u ,, u ,, u ,, u , 0.3 , u , 0.5 , u , 0.8 , u , 2.1 ,, 3.7 ,, 6.0 ,, 11.0 ,, 9.2 ,, 9.6 ,, 12.4 , u 
,C66,Malignant neoplasm of ureter,Females, 0.7 ,, 0.7 ,,, u ,, u ,, u ,, u ,, u ,, u ,, u ,, u ,, u ,, u ,, u , 0.2 , u , 0.7 , u , 1.2 , u , 2.0 ,, 2.2 ,, 3.6 ,, 5.2 ,, 5.2 ,, 3.5 , u 
,C67,Malignant neoplasm of bladder,Males, 27.6 ,, 23.0 ,,, u ,, u ,, u ,, u ,, u ,, u , 0.2 , u , 0.2 , u , 0.6 , u , 1.3 ,, 3.6 ,, 7.6 ,, 15.0 ,, 29.9 ,, 55.0 ,, 91.9 ,, 140.0 ,, 187.4 ,, 238.4 ,, 240.0 ,
,C67,Malignant neoplasm of bladder,Females, 8.2 ,, 8.4 ,,, u ,, u ,, u ,, u ,, u ,, u ,, u , 0.2 , u , 0.5 , u , 0.6 , u , 1.3 ,, 3.0 ,, 6.1 ,, 9.7 ,, 14.5 ,, 25.7 ,, 39.3 ,, 56.3 ,, 69.9 ,, 71.9 ,
,C68,Malignant neoplasm of other and unspecified urinary organs,Males, 0.6 ,, 0.5 ,,, u ,, u ,, u ,, u ,, u ,, u ,, u ,, u ,, u ,, u , 0.2 , u , 0.3 , u , 0.5 , u , 0.5 , u , 1.5 ,, 2.0 ,, 3.3 ,, 3.2 , u , 4.2 , u , 5.2 , u 
,C68,Malignant neoplasm of other and unspecified urinary organs,Females, 0.1 ,, 0.1 ,,, u ,, u ,, u ,, u ,, u ,, u ,, u ,, u ,, u ,, u ,, u ,, u ,, u , 0.4 , u ,, u ,, u , 0.5 , u , 1.0 , u , 0.8 , u , 0.9 , u 
,C82-C85,Non-Hodgkin's lymphoma,Males, 27.6 ,, 24.2 ,,, u , 0.5 , u , 1.1 ,, 1.5 ,, 2.1 ,, 2.7 ,, 3.2 ,, 5.0 ,, 5.6 ,, 10.1 ,, 14.0 ,, 21.6 ,, 27.6 ,, 45.0 ,, 60.5 ,, 88.6 ,, 115.4 ,, 134.5 ,, 122.3 ,, 94.6 ,
,C82-C85,Non-Hodgkin's lymphoma,Females, 19.5 ,, 19.2 ,,, u , 0.5 , u , 0.4 , u , 0.7 , u , 0.9 , u , 1.2 ,, 2.2 ,, 3.8 ,, 4.3 ,, 6.8 ,, 9.1 ,, 15.8 ,, 21.1 ,, 31.8 ,, 48.3 ,, 65.3 ,, 79.4 ,, 85.7 ,, 84.2 ,, 63.2 ,
,C90,Multiple myeloma and malignant plasma cell neoplasms,Males, 12.4 ,, 10.7 ,,, u ,, u ,, u ,, u ,, u ,, u ,, u , 0.4 , u , 1.1 ,, 2.4 ,, 3.7 ,, 8.6 ,, 12.9 ,, 20.1 ,, 28.1 ,, 40.5 ,, 54.4 ,, 69.8 ,, 74.2 ,, 58.0 ,
,C90,Multiple myeloma and malignant plasma cell neoplasms,Females, 7.5 ,, 7.5 ,,, u ,, u ,, u ,, u ,, u ,, u ,, u , 0.4 , u , 0.9 , u , 1.5 ,, 3.6 ,, 5.9 ,, 8.0 ,, 12.2 ,, 18.7 ,, 23.3 ,, 34.0 ,, 38.6 ,, 41.5 ,, 29.2 ,
,C91-C95,Leukaemia,Males, 21.1 ,, 18.6 ,, 2.1 , u , 9.8 ,, 3.2 ,, 2.8 ,, 3.6 ,, 2.5 ,, 2.6 ,, 3.5 ,, 3.9 ,, 6.1 ,, 7.8 ,, 12.0 ,, 19.7 ,, 31.0 ,, 45.5 ,, 62.8 ,, 82.1 ,, 108.1 ,, 114.6 ,, 105.6 ,
,C91-C95,Leukaemia,Females, 12.2 ,, 12.3 ,, 4.7 , u , 6.8 ,, 3.2 ,, 3.0 ,, 2.4 ,, 1.7 ,, 1.8 ,, 2.8 ,, 2.5 ,, 4.2 ,, 6.1 ,, 8.2 ,, 11.4 ,, 18.2 ,, 26.1 ,, 33.8 ,, 39.6 ,, 59.5 ,, 63.7 ,, 56.7 ,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Notes:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"1. Directly age-standardised using the 2013 update of the European standard population with an upper age band of 90+ (see methods for rates).  Therefore, caution should be taken if comparing these rates to rates in previous releases.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2. These figures exclude non-melanoma skin cancer (ICD-10 C44) (see notes and definitions).,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3. Non-melanoma skin cancer (NMSC) is very common but is known to be underreported. There are small areas of differing historical practice which may make comparisons across geographies and time difficult.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,4. This table does not include the ICD-10 codes that are non-mandatory (see notes and definitions).,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,5. Cancer incidence rates are estimates based on the latest mid-year population estimates for the reference year at the time of publication. ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Rates calculated from fewer than 20 counts may have low reliability and are therefore marked by (u).,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Age specific rates were not calculated where there were fewer than 3 cancer registrations in a cell.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Directly age-standardised rates were not calculated where there were fewer than 10 counts in a cell.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Where rates have not been calculated due to low counts as described above, the cell has been left blank, and marked by (u) to show the rate was not calculated due to low reliability.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,6. Geographic boundaries are based on the February 2019 edition of the national statistics postcode lookup file.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Source: National Cancer Registration and Analysis Service within Public Health England; Office for National Statistics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
